epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,686.839,2.06812,2.83686,1.06259,0.22906,0.20007,0.11239,0.04927,1.97728,2.15919,1.03041,0.000237222,0.000237222,0.000237222
2,1383.4,1.9026,1.64993,1.00846,0.1836,0.2769,0.15938,0.07256,1.89922,1.86345,1.00721,0.000428175,0.000428175,0.000428175
3,1981.79,1.83819,1.49511,1.00005,0.18115,0.27613,0.1483,0.06991,1.97009,1.9604,1.00809,0.000572004,0.000572004,0.000572004
4,2502.51,1.79564,1.41219,0.98631,0.25411,0.29347,0.19818,0.0961,1.86571,1.74649,0.98209,0.000501942,0.000501942,0.000501942
5,3023.94,1.75514,1.33642,0.97354,0.23996,0.3083,0.1905,0.08962,1.89945,1.73811,0.98989,0.000431256,0.000431256,0.000431256
6,3574.48,1.73234,1.28184,0.96977,0.28028,0.3562,0.2372,0.11496,1.87028,1.72914,0.9778,0.00036057,0.00036057,0.00036057
7,4096.12,1.69774,1.23382,0.95953,0.28402,0.341,0.22248,0.10435,1.87712,1.69708,0.98003,0.000289884,0.000289884,0.000289884
8,4619.42,1.67264,1.19582,0.95479,0.33888,0.35021,0.27889,0.13716,1.85055,1.72854,0.9815,0.000219198,0.000219198,0.000219198
9,5287.37,1.64733,1.16099,0.94757,0.30164,0.33518,0.24488,0.11918,1.86788,1.73271,0.97871,0.000148512,0.000148512,0.000148512
10,5978.58,1.6294,1.13222,0.94062,0.30676,0.3511,0.25441,0.12309,1.86486,1.6792,0.97981,7.7826e-05,7.7826e-05,7.7826e-05
